GEN_NUMBER;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;;;;;;
<gensyn.Individual;object;at;0x7fe0fc3d8850>;255;274;274;202;274;261;248;184;237;276;237;255;255;237;246;248;248;274;255;246;277;193;248;237;277;255;246;237;274;193;276;275;277;255;193;237;237;237;274;248;237;274;276;248;255;193;248;248;255;248;248.28;184;277
<gensyn.Individual;object;at;0x7fe0fda85210>;270;144;270;113;270;243;144;144;113;228;227;227;144;227;144;113;277;113;144;144;244;244;227;113;243;113;113;113;144;208;227;243;244;113;144;113;228;244;243;144;144;208;208;227;270;113;227;113;208;144;185.32;113;277
<gensyn.Individual;object;at;0x7fe0fc3d8b90>;135;135;135;135;135;135;135;108;140;142;135;139;128;135;135;128;140;128;139;128;140;135;142;135;139;139;142;135;214;128;128;140;139;73;142;73;135;100;139;139;128;148;125;142;135;140;73;135;128;116;131.94;73;214
<gensyn.Individual;object;at;0x7fe0fda856d0>;134;126;136;133;78;115;124;133;168;125;133;133;78;133;133;78;133;78;134;78;133;134;126;133;126;136;133;133;78;98;78;134;133;134;78;78;126;98;133;134;133;133;134;133;134;88;134;126;78;134;119.32;78;168
<gensyn.Individual;object;at;0x7fe0fc3d8cd0>;113;97;68;113;97;112;68;68;68;123;97;68;97;128;68;112;128;97;97;121;113;171;92;113;92;68;113;97;123;112;68;68;112;97;68;68;92;128;68;123;97;68;112;112;112;108;97;68;68;148;98.32;68;171
<gensyn.Individual;object;at;0x7fe0fc3d88d0>;175;175;175;108;112;125;81;129;81;129;81;129;92;83;108;81;112;175;108;83;175;117;92;81;81;81;75;58;83;81;108;175;92;129;125;125;137;129;112;125;125;112;125;175;125;175;117;175;108;81;116.82;58;175
<gensyn.Individual;object;at;0x7fe0fc3d8510>;80;184;80;108;119;186;92;160;92;133;92;93;119;160;92;80;184;93;77;184;78;97;119;80;186;97;97;119;85;85;92;92;92;97;184;93;93;80;92;85;80;92;73;80;119;80;92;119;80;133;107.98;73;186
<gensyn.Individual;object;at;0x7fe0fc0124d0>;128;64;154;99;186;99;79;79;119;119;61;109;72;119;127;64;186;119;170;77;77;79;68;99;119;109;99;77;127;64;186;186;64;127;64;119;119;68;109;77;119;77;170;99;79;99;68;77;77;119;105.02;61;186
<gensyn.Individual;object;at;0x7fe0fc012690>;173;101;152;107;149;149;152;149;94;173;109;152;152;138;100;94;81;94;173;152;133;152;79;94;152;107;149;149;107;149;133;173;173;109;69;152;149;152;100;100;152;152;152;109;152;152;101;152;133;109;131.78;69;173
<gensyn.Individual;object;at;0x7fe0fc3d8910>;100;99;85;109;182;150;142;85;142;125;109;126;150;109;142;142;91;142;84;150;142;85;142;70;85;85;126;100;142;125;142;126;85;126;142;85;85;109;54;150;126;69;142;126;70;142;126;85;91;109;115.12;54;182
<gensyn.Individual;object;at;0x7fe0fc3d8b10>;105;74;105;74;132;78;109;158;78;158;66;132;158;132;66;158;131;78;132;78;132;66;109;131;66;132;235;78;109;66;75;158;105;66;105;78;66;109;132;132;132;73;131;132;78;106;66;109;131;66;107.52;66;235
<gensyn.Individual;object;at;0x7fe0fc012650>;158;72;101;158;186;101;186;182;158;101;116;90;186;140;158;90;158;155;158;140;204;90;101;186;140;140;90;101;186;101;158;254;182;140;140;186;186;158;140;101;101;140;101;140;140;116;158;116;90;140;140.4;72;254
<gensyn.Individual;object;at;0x7fe0fc3d8b50>;211;211;117;86;90;184;189;117;211;189;88;211;90;189;184;86;189;115;90;189;117;115;117;117;117;211;117;117;184;86;90;201;115;86;90;189;211;211;117;189;201;90;86;90;117;181;90;94;95;95;139.44;86;211
<gensyn.Individual;object;at;0x7fe100e4cd10>;211;179;156;170;143;208;170;143;143;208;170;101;143;189;143;165;161;101;170;189;156;211;170;195;211;179;170;189;170;170;143;143;143;170;208;143;143;179;170;170;170;179;165;179;161;143;156;208;143;170;167.4;101;211
<gensyn.Individual;object;at;0x7fe0fc3d8050>;110;131;60;110;120;140;129;140;74;129;120;129;70;120;140;131;140;129;178;212;214;132;120;120;212;57;129;72;129;140;129;129;120;248;129;140;131;178;132;70;132;248;129;72;120;140;132;178;209;120;134.46;57;248
<gensyn.Individual;object;at;0x7fe100e4c890>;141;116;145;116;123;168;145;145;123;141;95;238;218;116;116;104;141;122;145;145;152;145;178;145;218;95;95;116;95;141;141;218;123;116;123;152;168;168;168;95;123;161;145;168;168;116;152;141;152;141;142.44;95;238
<gensyn.Individual;object;at;0x7fe0fda85550>;66;128;107;139;135;82;52;128;101;135;139;139;115;139;128;128;139;90;128;52;115;139;128;115;223;90;139;90;82;128;135;101;128;128;90;107;139;107;90;135;128;201;135;135;90;135;82;135;128;139;119.74;52;223
<gensyn.Individual;object;at;0x7fe100e4cf10>;179;98;179;98;98;67;98;64;64;98;98;220;187;179;98;67;179;98;171;64;171;171;64;98;171;171;171;64;98;171;179;187;151;98;64;171;98;67;151;64;98;98;179;199;98;187;98;187;98;179;128.1;64;220
<gensyn.Individual;object;at;0x7fe0f6fa2dd0>;161;94;136;161;102;118;159;94;136;161;161;161;161;159;102;154;102;161;201;161;161;102;154;102;102;154;159;161;159;201;118;159;159;161;159;161;154;161;102;159;159;205;159;159;161;161;159;201;102;159;148.36;94;205
